fold,level,hierarchy,class,precision,recall,f1,support
P6,image,guide,murA_2,0.6451612903225806,0.9523809523809523,0.7692307692307693,21
P6,image,guide,murA_3,0.6666666666666666,0.09523809523809523,0.16666666666666666,21
P6,image,guide,murC_1,0.1388888888888889,0.23809523809523808,0.17543859649122806,21
P6,image,guide,murC_2,0.0,0.0,0.0,21
P6,image,guide,murC_3,0.08,0.09523809523809523,0.08695652173913043,21
P6,image,guide,parC_1,0.0,0.0,0.0,21
P6,image,guide,parC_2,0.0,0.0,0.0,21
P6,image,guide,parC_3,0.0,0.0,0.0,21
P6,image,guide,parE_1,0.0,0.0,0.0,21
P6,image,guide,parE_2,0.0,0.0,0.0,21
P6,image,guide,parE_3,0.0,0.0,0.0,21
P6,image,guide,rplA_1,0.2727272727272727,0.14285714285714285,0.1875,21
P6,image,guide,rplA_2,0.05,0.047619047619047616,0.04878048780487805,21
P6,image,guide,rplA_3,0.0,0.0,0.0,21
P6,image,guide,rplC_1,0.45,0.42857142857142855,0.43902439024390244,21
P6,image,guide,rplC_2,0.25862068965517243,0.7142857142857143,0.379746835443038,21
P6,image,guide,rplC_3,0.0,0.0,0.0,21
P6,image,guide,rpoA_1,0.6190476190476191,0.6190476190476191,0.6190476190476191,21
P6,image,guide,rpoA_2,0.17391304347826086,0.5714285714285714,0.26666666666666666,21
P6,image,guide,rpoA_3,0.30303030303030304,0.47619047619047616,0.37037037037037035,21
P6,image,guide,rpoB_1,0.6666666666666666,0.09523809523809523,0.16666666666666666,21
P6,image,guide,rpoB_2,0.0,0.0,0.0,21
P6,image,guide,rpoB_3,0.275,0.5238095238095238,0.36065573770491804,21
